EnsemblID	GeneID	count
ENSG00000147124	7592	15
ENSG00000147144	90060	2
ENSG00000147155	10682	358
ENSG00000147251	139818	94
ENSG00000147255	3547	99
ENSG00000147256	158763	14
ENSG00000147257	2719	1666
ENSG00000147262	139760	223
ENSG00000147274	27316	121
ENSG00000147481	54212	27
ENSG00000147789	7553	23
ENSG00000147799	80728	10
ENSG00000148942	159963	19
ENSG00000148943	55327	22
ENSG00000148948	57689	32
ENSG00000148950	196294	11
ENSG00000149084	51144	79
ENSG00000149089	51074	29
ENSG00000149090	25891	31
ENSG00000149091	8525	148
ENSG00000149100	10480	41
ENSG00000149177	5795	261
ENSG00000149179	79096	3
ENSG00000149182	84364	21
ENSG00000149187	10658	292
ENSG00000150527	4253	67
ENSG00000151320	9472	53
ENSG00000151322	64067	70
ENSG00000151327	101927178	769
ENSG00000151327	283635	13
ENSG00000151332	51562	18
ENSG00000151338	145282	19
ENSG00000151348	2132	384
ENSG00000151413	80224	46
ENSG00000151445	63894	51
ENSG00000151748	60485	163
ENSG00000151789	79750	15
ENSG00000151812	341880	4
ENSG00000151838	729665	1
ENSG00000152219	120534	12
ENSG00000152315	56659	29
ENSG00000152433	284306	1
ENSG00000152439	374928	6
ENSG00000152492	152137	32
ENSG00000153485	26175	11
ENSG00000153879	1054	79
ENSG00000153885	79047	86
ENSG00000153896	148103	2
ENSG00000153902	163175	24
ENSG00000154001	5529	31
ENSG00000155052	129684	26
ENSG00000155249	79544	769
ENSG00000155463	5018	184
ENSG00000155465	9056	174
ENSG00000155495	9947	144
ENSG00000155622	9502	9
ENSG00000156030	91748	12
ENSG00000156050	145483	4
ENSG00000156127	10538	239
ENSG00000156298	7102	113
ENSG00000156313	6103	565
ENSG00000156381	122416	5
ENSG00000156411	9556	5
ENSG00000156414	122402	30
ENSG00000156500	159091	1
ENSG00000156504	159090	2
ENSG00000156531	84295	293
ENSG00000156697	10813	22
ENSG00000156709	9131	1813
ENSG00000156920	139378	15
ENSG00000156925	7547	152
ENSG00000156931	23355	15
ENSG00000156976	1974	540
ENSG00000157005	6750	10430
ENSG00000157227	4323	3186
ENSG00000157326	10901	49
ENSG00000157379	115817	8
ENSG00000157399	415	56
ENSG00000157570	90139	43
